month,total_searches,index_value
2022-06-01,6350,100.0
2022-07-01,7390,116.4
2022-08-01,10230,161.1
2022-09-01,7200,113.4
2022-10-01,9990,157.3
2022-11-01,8290,130.6
2022-12-01,6820,107.4
2023-01-01,7150,112.6
2023-02-01,7700,121.3
2023-03-01,7410,116.7
2023-04-01,6770,106.6
2023-05-01,6550,103.1
2023-06-01,5500,86.6
2023-07-01,5230,82.4
2023-08-01,5920,93.2
2023-09-01,5810,91.5
2023-10-01,7640,120.3
2023-11-01,6360,100.2
2023-12-01,5170,81.4
2024-01-01,5920,93.2
2024-02-01,6170,97.2
2024-03-01,5920,93.2
2024-04-01,5260,82.8
2024-05-01,4770,75.1
2024-06-01,5040,79.4
2024-07-01,6180,97.3
2024-08-01,5190,81.7
2024-09-01,5350,84.3
2024-10-01,5570,87.7
2024-11-01,5410,85.2
2024-12-01,9270,146.0
2025-01-01,14490,228.2
2025-02-01,7550,118.9
2025-03-01,9880,155.6
2025-04-01,10460,164.7
2025-05-01,11230,176.9
2025-06-01,8030,126.5
2025-07-01,6330,99.7
2025-08-01,5700,89.8
2025-09-01,5680,89.4
2025-10-01,7390,116.4
2025-11-01,7320,115.3
2025-12-01,10140,159.7
2026-01-01,10520,165.7
2026-02-01,9620,151.5
2026-03-01,7970,125.5
2026-04-01,10940,172.3
2026-05-01,6630,104.4
